,Proportion of Asian Population,AAHC rate per Asian capita in %
0,0.01721354371,0.0019290495572831267
1,0.03599663399,0.001553820456046304
2,0.1539256582,0.001544541876555941
3,0.03460978497,0.003503030121054712
4,0.04782520194,0.0017395842393667911
5,0.04864802152,0.002981070204203309
6,0.02988561665,0.00046606864880484463
7,0.007655237612,0.024096385542168672
8,0.01769473942,0.0026688729349595664
9,0.05439878293,0.0007568685823851452
10,0.09481756733,0.0035587383451319197
11,0.3723718813,0.0007381408446545685
12,0.01459187236,0.003726337755254136
13,0.05891727053,0.00039741521146463403
14,0.02475253215,0.0005953833971385873
15,0.02936573311,0.002318222387073592
16,0.0165176895,0.002687232956224975
17,0.0185578595,0.0011568985862699275
18,0.07225320014,0.0025593876369764575
19,0.06814452576,0.00023756129081302978
20,0.01233008333,0.017859268960590546
21,0.03317346627,0.0005982650314089142
22,0.05242974057,0.0030081219292088643
23,0.02167000573,0.0014995089108317027
24,0.01104556511,0.00611452505426641
25,0.02699510172,0.005665615380257219
26,0.03286121753,0.0005830036933283972
27,0.02604010514,0.005575534554375401
28,0.1022812589,0.005262659327011125
29,0.08783797277,0.002566895120332376
30,0.09569343955,0.001551889762028051
31,0.02529855634,0.0016749913737944251
32,0.04591131619,0.0015421151651605343
33,0.03926115345,0.0015670880174573603
34,0.01962351899,0.002212144674261697
35,0.0245866263,0.001243193515502623
36,0.07130204823,0.0008124321619144802
37,0.01795896914,0.008658758334054896
38,0.02981174193,0.0017074364549066034
