,Total,AAHC rate per capita in %
0,3011524,3.3205778868107974e-05
1,7151502,5.593230624839369e-05
2,39538223,0.00023774462499237761
3,5773714,0.00012123911922204669
4,3605944,8.319596754691698e-05
5,689545,0.0001450231674510003
6,21538187,1.3928748970375268e-05
7,1084225,0.0001844635569185363
8,2117522,4.722501112149012e-05
9,29145505,4.11727297228166e-05
10,7705281,0.0003374309126429004
11,1455271,0.00027486289495221163
12,1839106,5.4374244877674255e-05
13,12812508,2.3414619526481466e-05
14,6785528,1.4737246681466793e-05
15,2937880,6.807629991694691e-05
16,4505836,4.4386879593487197e-05
17,4657757,2.146956142194623e-05
18,7029917,0.0001849239471817377
19,6177224,1.61885015016454e-05
20,1362359,0.00022020627455758725
21,10077331,1.984652483876931e-05
22,5706494,0.000157715052359645
23,6154913,3.2494366695353774e-05
24,2961279,6.75383845966557e-05
25,1961504,0.0001529438634843467
26,10439388,1.9158211190157893e-05
27,1377529,0.0001451875060343557
28,9288994,0.0005382714209956427
29,3104614,0.00022547086368869047
30,20201249,0.0001485056691296662
31,11799448,4.2374863637688814e-05
32,4237256,7.080053695127224e-05
33,13002700,6.152568312735048e-05
34,6910840,4.341006303141152e-05
35,3271616,3.0565934388387874e-05
36,8631393,5.7928077194492245e-05
37,643077,0.0001555023737437352
38,5893718,5.0901654948540124e-05
