,State,Asian Population
0,Alabama,76660
1,Alaska,44032
2,Arizona,257430
3,Arkansas,51839
4,California,6085947
5,Colorado,199827
6,Connecticut,172455
7,Delaware,42699
8,District of Columbia,33545
9,Florida,643682
10,Georgia,479028
11,Hawaii,541902
12,Idaho,26836
13,Illinois,754878
14,Indiana,167959
15,Iowa,75629
16,Kansas,86273
17,Kentucky,74426
18,Louisiana,86438
19,Maine,16798
20,Maryland,420944
21,Massachusetts,507934
22,Michigan,334300
23,Minnesota,299190
24,Mississippi,32709
25,Missouri,133377
26,Montana,8300
27,Nebraska,52951
28,Nevada,272703
29,New Hampshire,35871
30,New Jersey,950090
31,New Mexico,37469
32,New York,1933127
33,North Carolina,343051
34,North Dakota,13213
35,Ohio,298509
36,Oklahoma,90949
37,Oregon,194538
38,Pennsylvania,510501
39,Rhode Island,38961
40,South Carolina,90466
41,South Dakota,13476
42,Tennessee,135615
43,Texas,1585480
44,Utah,80438
45,Vermont,11549
46,Virginia,615436
47,Washington,730596
48,West Virginia,15109
49,Wisconsin,175702
50,Wyoming,5212
51,United States,19886049
