,Total,AAHC rate per Asian capita in %
0,8.2,0.001553820456046304
1,6.3,0.0019290495572831267
2,5.1,0.001544541876555941
3,5.7,0.003503030121054712
4,4.0,0.0017395842393667911
5,4.1,0.002981070204203309
6,6.8,0.00046606864880484463
7,4.1,0.0007381408446545685
8,6.1,0.003726337755254136
9,4.9,0.00039741521146463403
10,7.3,0.0005953833971385873
11,5.6,0.002318222387073592
12,6.2,0.002687232956224975
13,8.8,0.0011568985862699275
14,4.0,0.017859268960590546
15,4.8,0.00023756129081302978
16,3.8,0.0025593876369764575
17,5.8,0.0005982650314089142
18,4.1,0.0030081219292088643
19,6.9,0.00611452505426641
20,5.9,0.0014995089108317027
21,6.4,0.024096385542168672
22,4.7,0.005665615380257219
23,8.4,0.002566895120332376
24,3.9,0.005575534554375401
25,3.8,0.005262659327011125
26,8.9,0.0026688729349595664
27,5.3,0.001551889762028051
28,6.0,0.0005830036933283972
29,5.7,0.0016749913737944251
30,6.6,0.0015421151651605343
31,5.4,0.0015670880174573603
32,5.2,0.002212144674261697
33,6.7,0.0007568685823851452
34,5.2,0.001243193515502623
35,4.0,0.008658758334054896
36,3.6,0.0008124321619144802
37,6.4,0.0035587383451319197
38,4.5,0.0017074364549066034
