,Median annual income (Standardised),dem_this_margin (Standardised),Dropout rates (Standardised),AAHC rate per Asian capita in % (Standardised),Unemployment (Standardised),Bachelor degree or higher (Standardised),Overall homeless (Standardised)
0,-1.2544305226789274,-1.3763317462461604,0.4734102960988172,-0.2992454597312194,-0.8264163817350935,-1.3634147957272378,-0.5696446771957627
1,-0.5837956382568767,-0.1661607780922637,1.79717267122796,-0.3808162592779115,0.15521525951369702,-0.4111111588557047,-0.10654498761786685
2,0.4360841313244832,1.0873854935796938,-0.3626501513511681,-0.382833323373398,1.3549872654844402,0.15246558580884648,1.4693445366733346
3,0.643122493748682,0.406393228346139,0.05538007237382484,0.04292110633362494,-0.1719952875692333,1.192778317208966,-0.0014434467460744903
4,1.6644683099561772,0.6926702315653404,-1.1290388948469876,-0.3404331965508365,0.15521525951369702,0.9231462447805561,-0.5573092712544604
5,3.5623471145229275,3.585802976219996,-1.0593671908928224,-0.07054740559296463,0.20975035069418518,4.030103695996199,4.661452723863724
6,-0.43311862390409633,-0.3266494011090887,0.8217688158696443,-0.6172818860978441,0.04614507715272025,-0.21039500304133105,-0.2665662687497647
7,-0.5093530484631247,-0.8905283468438792,0.543082000052983,4.519696658955996,-0.9354865640960698,-0.04329685097329168,-0.17464329867329953
8,-1.1480606952493428,0.2892799088473748,2.284874598907119,-0.13841575797971947,0.4278907154161387,-0.866770105711119,-0.08256829433683759
9,-0.48882839569723247,-0.42207506884882245,0.7520971119154791,-0.5540650859827086,-0.008390014027768376,-0.6130447191289597,-0.4778377038784051
10,0.755356507682807,0.6536324583990856,0.543082000052983,0.05503147934127738,0.4278907154161387,0.418730466582846,0.7829946683915026
11,0.20998716276052737,1.1003980846351118,-1.0593671908928224,-0.558136296172293,2.1730136331917653,-0.07060082644615584,1.68669395905931
12,-1.0275190837671186,-1.5151327175039548,0.3340668881904862,0.09146580131193568,-1.2081620199985115,-0.929691274495141,-0.2773379875277647
13,0.28671026952826745,0.5582067906593519,-0.5019935592594985,-0.6322064102272644,1.0277767184015103,0.2757319798478191,-0.5520502441393299
14,-0.7331695000530926,-0.8775157557884611,1.1701273356404716,-0.5891702407590536,-0.2810654699302101,-0.9445469041231938,-0.5428792326593243
15,-0.40135428033783455,-0.8167903308631758,-0.014291631580340957,-0.2146434425016941,-0.9354865640960698,-0.14801250286997844,-0.5400222639958139
16,-0.9936371172964393,-1.3025937302654569,0.403738592144652,-0.13442448542282784,-0.5537409258326518,-1.1322704342557235,-0.505062372251207
17,-1.0351751050369356,-0.9859540145836131,2.2152028949529536,-0.46710283504856964,0.37335562423565055,-1.1837234269354804,-0.634158650826464
18,1.5447411688218058,1.273899298707355,-1.2683823027553185,-0.16221669257048682,0.7005661713185805,1.6185093754327269,0.5247131097374569
19,1.277757788795636,1.260886707651937,-0.5716652632136643,-0.6669569455009001,-0.444670743471675,0.9077883868019502,-0.41893020352806687
20,-0.26729246108125265,0.21554189286667141,-1.1290388948469876,3.1638141201329866,-1.2081620199985115,0.1937417061663488,-0.10404900917160219
21,-0.41780658136446247,-0.05772251929711168,0.12505177632799003,-0.5885438042415848,1.2459170831234638,-0.4479860079281164,-0.5254555139868196
22,0.5452231579367673,0.1287912858305498,-1.0593671908928224,-0.06466664946145206,-0.7718812905546049,0.4239924346463635,-0.1953924828750626
23,-0.5648999261866903,-0.8471530433258184,0.19472348028215583,-0.392623009215932,-0.8264163817350935,-0.43418060534050157,-0.3998607722659192
24,-1.6141006282907533,-0.8948658771956853,0.8914405198238101,0.6106322167247314,0.26428544187467334,-1.5513565594163319,-0.8240835183183592
25,-0.3218619743873947,-1.0119791966944494,-0.6413369671678295,0.5130440474903214,-1.8625831141643716,-0.2144574767595982,-0.29783378061798066
26,-0.5692980660650957,-0.23556126372116098,0.264395184236321,-0.5918614561648413,-0.1719952875692333,-0.14957171508583958,-0.5058271714015181
27,0.9325852553755909,0.14180387688596807,-1.198710598801153,0.49346143791450214,-0.4992058346521631,0.6867588941267624,-0.3037926664066981
28,1.379240794138103,0.510493956789485,-1.2683823027553185,0.42544570467224124,1.1913819919429756,0.8936395064379058,-0.41240154968490633
29,-0.4432180562174719,-0.075072640704336,1.9365160791362916,-0.16058464586113724,2.827434727357626,-1.074205060299559,0.3180903725016388
30,0.8223059702763127,0.8227961421195227,-0.22330674344283713,-0.38123597153964656,1.3004521743039519,0.5641806902094354,1.736383612457712
31,-0.44403252656532477,-0.5261757972921685,0.05538007237382484,-0.3544749957406719,0.26428544187467334,-0.5856671871194865,-0.49713588352551913
32,-0.08387373874478701,0.5191690174930972,0.6824254079613133,-0.38336086451596907,-0.008390014027768376,0.2182708664853707,1.0818000910013033
33,0.012070868232280707,-0.12712300492600895,-0.15363503948867133,-0.37793203311110457,0.8096363536795567,-0.08646681177697989,-0.41952096475231243
34,-0.7198121863483055,-1.1854804107666925,-0.2929784473970023,-0.2377036044657564,-0.06292510520825652,-0.648575818811674,-0.4063535510401552
35,-0.7334952881922336,-1.0683670912679286,-0.2929784473970023,-0.44834323897477396,-1.5899076582619298,-0.5468125668257546,-0.463765998293617
36,0.8144870549369252,0.2589171963847322,-1.4077257106636494,-0.5419861571551082,-0.7718812905546049,0.7436077430132144,-0.6286439066836788
37,0.04872203388565972,1.3563123753916706,-1.1290388948469876,1.1637213619471474,-1.0990918376375352,0.714966040756265,0.011383742676608317
38,-0.14707663773816948,-0.15314818703684543,-0.7806803750761605,-0.3474217815870946,-0.7173461993741167,-0.30225412237444815,-0.5817411439580006
